NumberOfSections-Value,PointerToSymbolTable-Value,NumberOfSymbols-Value,SizeOfOptionalHeader-Value,Characteristics-Value,MinorLinkerVersion-Value,SizeOfCode-Value,SizeOfInitializedData-Value,SizeOfUninitializedData-Value,AddressOfEntryPoint-Value,BaseOfData-Value,CheckSum-Value,DllCharacteristics-Value,version
15,164864,2530,224,263,25,108544,128512,1536,5344,114688,275348,0,06
15,166400,2530,224,263,27,110080,130048,1536,5344,114688,292905,0,06
15,166912,2530,224,263,27,110592,130560,1536,5344,114688,301472,0,06
15,167424,2527,224,263,28,111104,131072,1536,5376,118784,283413,0,07
15,167424,2527,224,263,29,111104,131072,1536,5376,118784,276973,0,07
15,167424,2529,224,263,29,111104,131072,1536,5376,118784,293488,0,07
15,170496,3993,224,263,31,112640,132608,1536,5344,118784,312557,0,08
15,170496,3993,224,263,31,112640,132608,1536,5344,118784,284238,0,08
15,173056,3983,224,263,32,115200,135168,1536,5312,122880,307229,0,09
15,173056,3989,224,263,34,115200,135168,1536,5312,122880,321612,0,09
16,178688,4216,224,262,36,132096,161280,3072,5312,139264,357983,320,10
16,178688,4216,224,262,36,132096,161280,3072,5312,139264,299507,320,10
16,202240,4678,224,262,36,153088,183808,3584,5312,159744,357959,320,11
16,202752,4654,224,262,36,153600,184320,3584,5296,159744,338343,320,11
17,201728,4543,224,262,39,153088,183296,3584,5296,159744,348834,320,12
17,201728,4543,224,262,41,153088,183296,3584,5296,159744,387304,320,12
17,204288,4678,224,262,41,155648,186368,3584,5104,159744,337885,320,13
15,834560,13384,224,263,25,743936,798208,4096,5344,749568,1596015,0,06
15,834560,13384,224,263,27,743936,798208,4096,5344,749568,1564343,0,06
15,835584,13384,224,263,27,744960,799232,4096,5344,749568,1543985,0,06
15,830464,13384,224,263,28,740352,794112,4096,5376,745472,1576286,0,07
15,828416,13384,224,263,29,738304,792064,4096,5376,745472,1571495,0,07
15,829952,13386,224,263,29,739840,793600,4096,5376,745472,1580836,0,07
15,835072,16377,224,263,31,743424,797184,4096,5344,749568,1653876,0,08
15,835072,16381,224,263,31,742912,797184,4096,5344,749568,1642254,0,08
15,908288,16552,224,263,32,815616,870400,4096,5312,823296,1730494,0,09
15,907264,16548,224,263,34,814592,869376,4096,5312,819200,1758745,0,09
16,917504,16532,224,262,36,818176,900096,3584,5312,823296,1773085,320,10
16,916480,16540,224,262,36,816640,899072,3584,5312,823296,1727621,320,10
16,931328,17072,224,262,36,830464,912896,3584,5312,835584,1813351,320,11
16,924160,17013,224,262,36,823808,905728,3584,5296,831488,1789588,320,11
17,960512,17115,224,262,39,854528,942080,3584,5296,860160,1821601,320,12
17,958464,17106,224,262,41,852480,940032,3584,5296,860160,1796761,320,12
17,951808,17282,224,262,41,846336,933888,3584,5104,851968,1800571,320,13
